EXP_GENE,RT_GENE,CORR
FOSL1,GLRB-rt,0.93601770555
FOXC2,GLRB-rt,0.93601770555
FOXK1,GLRB-rt,0.93601770555
FOXP1,GLRB-rt,0.93601770555
FOXS1,GLRB-rt,0.93601770555
GPC1,GLRB-rt,0.93601770555
GREM1,GLRB-rt,0.93601770555
HCFC2,GLRB-rt,0.93601770555
HIF1A,GLRB-rt,0.93601770555
HMGA2,GLRB-rt,0.93601770555
HSF2BP,GLRB-rt,0.93601770555
IGFBP4,GLRB-rt,0.93601770555
IL15,GLRB-rt,0.93601770555
IL7R,GLRB-rt,0.93601770555
ITGA11,GLRB-rt,0.93601770555
ITGB7,GLRB-rt,0.93601770555
KCNMA1,GLRB-rt,0.93601770555
KLF2,GLRB-rt,0.93601770555
KLF9,GLRB-rt,0.93601770555
LACTB,GLRB-rt,0.93601770555
LMO7,GLRB-rt,0.93601770555
LOC645638,GLRB-rt,0.93601770555
MAFG,GLRB-rt,0.93601770555
MAP1A,GLRB-rt,0.93601770555
MBNL1,GLRB-rt,0.93601770555
MED8,GLRB-rt,0.93601770555
MGLL,GLRB-rt,0.93601770555
MPP4,GLRB-rt,0.93601770555
MSC,GLRB-rt,0.93601770555
MYBL1,GLRB-rt,0.93601770555
NCOR2,GLRB-rt,0.93601770555
NFIC,GLRB-rt,0.93601770555
NGF,GLRB-rt,0.93601770555
NPAS2,GLRB-rt,0.93601770555
NTN4,GLRB-rt,0.93601770555
OLFML1,GLRB-rt,0.93601770555
PER1,GLRB-rt,0.93601770555
PHF20,GLRB-rt,0.93601770555
PKNOX2,GLRB-rt,0.93601770555
PRKCA,GLRB-rt,0.93601770555
PRRX1,GLRB-rt,0.93601770555
PRSS23,GLRB-rt,0.93601770555
PSMB9,GLRB-rt,0.93601770555
PTRF,GLRB-rt,0.93601770555
RBCK1,GLRB-rt,0.93601770555
RC3H2,GLRB-rt,0.93601770555
RUNX2,GLRB-rt,0.93601770555
SFTA1P,GLRB-rt,0.93601770555
SH3RF3,GLRB-rt,0.93601770555
SIX1,GLRB-rt,0.93601770555
SNAI2,GLRB-rt,0.93601770555
SNAPC1,GLRB-rt,0.93601770555
SON,GLRB-rt,0.93601770555
SP100,GLRB-rt,0.93601770555
SRGN,GLRB-rt,0.93601770555
STARD13,GLRB-rt,0.93601770555
STK32B,GLRB-rt,0.93601770555
TGFB1I1,GLRB-rt,0.93601770555
THBS2,GLRB-rt,0.93601770555
THRA,GLRB-rt,0.93601770555
TIPARP,GLRB-rt,0.93601770555
TMF1,GLRB-rt,0.93601770555
VGLL3,GLRB-rt,0.93601770555
ZFPL1,GLRB-rt,0.93601770555
ABTB1,EGFR-rt,0.920844454387
ADAM15,EGFR-rt,0.920844454387
AEBP1,EGFR-rt,0.920844454387
AFF3,EGFR-rt,0.920844454387
AHR,EGFR-rt,0.920844454387
AIP,EGFR-rt,0.920844454387
AK5,EGFR-rt,0.920844454387
BLVRA,EGFR-rt,0.920844454387
CAV1,EGFR-rt,0.920844454387
CD44,EGFR-rt,0.920844454387
CHD3,EGFR-rt,0.920844454387
COL12A1,EGFR-rt,0.920844454387
COL5A3,EGFR-rt,0.920844454387
COL6A2,EGFR-rt,0.920844454387
COL8A1,EGFR-rt,0.920844454387
CORO1C,EGFR-rt,0.920844454387
CPA4,EGFR-rt,0.920844454387
CRIM1,EGFR-rt,0.920844454387
CSPG4,EGFR-rt,0.920844454387
CXXC5,EGFR-rt,0.920844454387
DLX1,EGFR-rt,0.920844454387
DRAP1,EGFR-rt,0.920844454387
ECM1,EGFR-rt,0.920844454387
EDIL3,EGFR-rt,0.920844454387
ERCC6,EGFR-rt,0.920844454387
EVA1A,EGFR-rt,0.920844454387
F2RL2,EGFR-rt,0.920844454387
FBN1,EGFR-rt,0.920844454387
FN1,EGFR-rt,0.920844454387
FOSL1,EGFR-rt,0.920844454387
FOXC2,EGFR-rt,0.920844454387
FOXK1,EGFR-rt,0.920844454387
FOXP1,EGFR-rt,0.920844454387
FOXS1,EGFR-rt,0.920844454387
GPC1,EGFR-rt,0.920844454387
GREM1,EGFR-rt,0.920844454387
HCFC2,EGFR-rt,0.920844454387
HIF1A,EGFR-rt,0.920844454387
HMGA2,EGFR-rt,0.920844454387
HSF2BP,EGFR-rt,0.920844454387
IGFBP4,EGFR-rt,0.920844454387
IL15,EGFR-rt,0.920844454387
IL7R,EGFR-rt,0.920844454387
ITGA11,EGFR-rt,0.920844454387
ITGB7,EGFR-rt,0.920844454387
KCNMA1,EGFR-rt,0.920844454387
KLF2,EGFR-rt,0.920844454387
KLF9,EGFR-rt,0.920844454387
LACTB,EGFR-rt,0.920844454387
LMO7,EGFR-rt,0.920844454387
LOC645638,EGFR-rt,0.920844454387
MAFG,EGFR-rt,0.920844454387
MAP1A,EGFR-rt,0.920844454387
MBNL1,EGFR-rt,0.920844454387
MED8,EGFR-rt,0.920844454387
MGLL,EGFR-rt,0.920844454387
MPP4,EGFR-rt,0.920844454387
MSC,EGFR-rt,0.920844454387
MYBL1,EGFR-rt,0.920844454387
NCOR2,EGFR-rt,0.920844454387
NFIC,EGFR-rt,0.920844454387
NGF,EGFR-rt,0.920844454387
NPAS2,EGFR-rt,0.920844454387
NTN4,EGFR-rt,0.920844454387
OLFML1,EGFR-rt,0.920844454387
PER1,EGFR-rt,0.920844454387
PHF20,EGFR-rt,0.920844454387
PKNOX2,EGFR-rt,0.920844454387
PRKCA,EGFR-rt,0.920844454387
PRRX1,EGFR-rt,0.920844454387
PRSS23,EGFR-rt,0.920844454387
PSMB9,EGFR-rt,0.920844454387
PTRF,EGFR-rt,0.920844454387
RBCK1,EGFR-rt,0.920844454387
RC3H2,EGFR-rt,0.920844454387
RUNX2,EGFR-rt,0.920844454387
SFTA1P,EGFR-rt,0.920844454387
SH3RF3,EGFR-rt,0.920844454387
SIX1,EGFR-rt,0.920844454387
SNAI2,EGFR-rt,0.920844454387
SNAPC1,EGFR-rt,0.920844454387
SON,EGFR-rt,0.920844454387
SP100,EGFR-rt,0.920844454387
SRGN,EGFR-rt,0.920844454387
STARD13,EGFR-rt,0.920844454387
STK32B,EGFR-rt,0.920844454387
TGFB1I1,EGFR-rt,0.920844454387
THBS2,EGFR-rt,0.920844454387
THRA,EGFR-rt,0.920844454387
TIPARP,EGFR-rt,0.920844454387
TMF1,EGFR-rt,0.920844454387
VGLL3,EGFR-rt,0.920844454387
ZFPL1,EGFR-rt,0.920844454387
ABTB1,PMS1-rt,0.904652409818
ADAM15,PMS1-rt,0.904652409818
AEBP1,PMS1-rt,0.904652409818
AFF3,PMS1-rt,0.904652409818
AHR,PMS1-rt,0.904652409818
AIP,PMS1-rt,0.904652409818
AK5,PMS1-rt,0.904652409818
BLVRA,PMS1-rt,0.904652409818
CAV1,PMS1-rt,0.904652409818
CD44,PMS1-rt,0.904652409818
CHD3,PMS1-rt,0.904652409818
COL12A1,PMS1-rt,0.904652409818
COL5A3,PMS1-rt,0.904652409818
COL6A2,PMS1-rt,0.904652409818
COL8A1,PMS1-rt,0.904652409818
CORO1C,PMS1-rt,0.904652409818
CPA4,PMS1-rt,0.904652409818
CRIM1,PMS1-rt,0.904652409818
CSPG4,PMS1-rt,0.904652409818
CXXC5,PMS1-rt,0.904652409818
DLX1,PMS1-rt,0.904652409818
DRAP1,PMS1-rt,0.904652409818
ECM1,PMS1-rt,0.904652409818
EDIL3,PMS1-rt,0.904652409818
ERCC6,PMS1-rt,0.904652409818
EVA1A,PMS1-rt,0.904652409818
F2RL2,PMS1-rt,0.904652409818
FBN1,PMS1-rt,0.904652409818
FN1,PMS1-rt,0.904652409818
FOSL1,PMS1-rt,0.904652409818
FOXC2,PMS1-rt,0.904652409818
FOXK1,PMS1-rt,0.904652409818
FOXP1,PMS1-rt,0.904652409818
FOXS1,PMS1-rt,0.904652409818
GPC1,PMS1-rt,0.904652409818
GREM1,PMS1-rt,0.904652409818
HCFC2,PMS1-rt,0.904652409818
HIF1A,PMS1-rt,0.904652409818
HMGA2,PMS1-rt,0.904652409818
HSF2BP,PMS1-rt,0.904652409818
IGFBP4,PMS1-rt,0.904652409818
IL15,PMS1-rt,0.904652409818
IL7R,PMS1-rt,0.904652409818
ITGA11,PMS1-rt,0.904652409818
ITGB7,PMS1-rt,0.904652409818
KCNMA1,PMS1-rt,0.904652409818
KLF2,PMS1-rt,0.904652409818
KLF9,PMS1-rt,0.904652409818
LACTB,PMS1-rt,0.904652409818
LMO7,PMS1-rt,0.904652409818
LOC645638,PMS1-rt,0.904652409818
MAFG,PMS1-rt,0.904652409818
MAP1A,PMS1-rt,0.904652409818
MBNL1,PMS1-rt,0.904652409818
MED8,PMS1-rt,0.904652409818
MGLL,PMS1-rt,0.904652409818
MPP4,PMS1-rt,0.904652409818
MSC,PMS1-rt,0.904652409818
MYBL1,PMS1-rt,0.904652409818
NCOR2,PMS1-rt,0.904652409818
NFIC,PMS1-rt,0.904652409818
NGF,PMS1-rt,0.904652409818
NPAS2,PMS1-rt,0.904652409818
NTN4,PMS1-rt,0.904652409818
OLFML1,PMS1-rt,0.904652409818
PER1,PMS1-rt,0.904652409818
PHF20,PMS1-rt,0.904652409818
PKNOX2,PMS1-rt,0.904652409818
PRKCA,PMS1-rt,0.904652409818
PRRX1,PMS1-rt,0.904652409818
PRSS23,PMS1-rt,0.904652409818
PSMB9,PMS1-rt,0.904652409818
PTRF,PMS1-rt,0.904652409818
RBCK1,PMS1-rt,0.904652409818
RC3H2,PMS1-rt,0.904652409818
RUNX2,PMS1-rt,0.904652409818
SFTA1P,PMS1-rt,0.904652409818
SH3RF3,PMS1-rt,0.904652409818
SIX1,PMS1-rt,0.904652409818
SNAI2,PMS1-rt,0.904652409818
SNAPC1,PMS1-rt,0.904652409818
SON,PMS1-rt,0.904652409818
SP100,PMS1-rt,0.904652409818
SRGN,PMS1-rt,0.904652409818
STARD13,PMS1-rt,0.904652409818
STK32B,PMS1-rt,0.904652409818
TGFB1I1,PMS1-rt,0.904652409818
THBS2,PMS1-rt,0.904652409818
THRA,PMS1-rt,0.904652409818
TIPARP,PMS1-rt,0.904652409818
TMF1,PMS1-rt,0.904652409818
VGLL3,PMS1-rt,0.904652409818
ZFPL1,PMS1-rt,0.904652409818
ABTB1,CSGALNACT1-rt,0.923745959501
ADAM15,CSGALNACT1-rt,0.923745959501
AEBP1,CSGALNACT1-rt,0.923745959501
AFF3,CSGALNACT1-rt,0.923745959501
AHR,CSGALNACT1-rt,0.923745959501
AIP,CSGALNACT1-rt,0.923745959501
AK5,CSGALNACT1-rt,0.923745959501
BLVRA,CSGALNACT1-rt,0.923745959501
CAV1,CSGALNACT1-rt,0.923745959501
CD44,CSGALNACT1-rt,0.923745959501
CHD3,CSGALNACT1-rt,0.923745959501
COL12A1,CSGALNACT1-rt,0.923745959501
COL5A3,CSGALNACT1-rt,0.923745959501
COL6A2,CSGALNACT1-rt,0.923745959501
COL8A1,CSGALNACT1-rt,0.923745959501
CORO1C,CSGALNACT1-rt,0.923745959501
CPA4,CSGALNACT1-rt,0.923745959501
CRIM1,CSGALNACT1-rt,0.923745959501
CSPG4,CSGALNACT1-rt,0.923745959501
CXXC5,CSGALNACT1-rt,0.923745959501
DLX1,CSGALNACT1-rt,0.923745959501
DRAP1,CSGALNACT1-rt,0.923745959501
ECM1,CSGALNACT1-rt,0.923745959501
EDIL3,CSGALNACT1-rt,0.923745959501
ERCC6,CSGALNACT1-rt,0.923745959501
EVA1A,CSGALNACT1-rt,0.923745959501
F2RL2,CSGALNACT1-rt,0.923745959501
FBN1,CSGALNACT1-rt,0.923745959501
FN1,CSGALNACT1-rt,0.923745959501
FOSL1,CSGALNACT1-rt,0.923745959501
FOXC2,CSGALNACT1-rt,0.923745959501
FOXK1,CSGALNACT1-rt,0.923745959501
FOXP1,CSGALNACT1-rt,0.923745959501
FOXS1,CSGALNACT1-rt,0.923745959501
GPC1,CSGALNACT1-rt,0.923745959501
GREM1,CSGALNACT1-rt,0.923745959501
HCFC2,CSGALNACT1-rt,0.923745959501
HIF1A,CSGALNACT1-rt,0.923745959501
HMGA2,CSGALNACT1-rt,0.923745959501
HSF2BP,CSGALNACT1-rt,0.923745959501
IGFBP4,CSGALNACT1-rt,0.923745959501
IL15,CSGALNACT1-rt,0.923745959501
IL7R,CSGALNACT1-rt,0.923745959501
ITGA11,CSGALNACT1-rt,0.923745959501
ITGB7,CSGALNACT1-rt,0.923745959501
KCNMA1,CSGALNACT1-rt,0.923745959501
KLF2,CSGALNACT1-rt,0.923745959501
KLF9,CSGALNACT1-rt,0.923745959501
LACTB,CSGALNACT1-rt,0.923745959501
LMO7,CSGALNACT1-rt,0.923745959501
LOC645638,CSGALNACT1-rt,0.923745959501
MAFG,CSGALNACT1-rt,0.923745959501
MAP1A,CSGALNACT1-rt,0.923745959501
MBNL1,CSGALNACT1-rt,0.923745959501
MED8,CSGALNACT1-rt,0.923745959501
MGLL,CSGALNACT1-rt,0.923745959501
MPP4,CSGALNACT1-rt,0.923745959501
MSC,CSGALNACT1-rt,0.923745959501
MYBL1,CSGALNACT1-rt,0.923745959501
NCOR2,CSGALNACT1-rt,0.923745959501
NFIC,CSGALNACT1-rt,0.923745959501
NGF,CSGALNACT1-rt,0.923745959501
NPAS2,CSGALNACT1-rt,0.923745959501
NTN4,CSGALNACT1-rt,0.923745959501
OLFML1,CSGALNACT1-rt,0.923745959501
PER1,CSGALNACT1-rt,0.923745959501
PHF20,CSGALNACT1-rt,0.923745959501
PKNOX2,CSGALNACT1-rt,0.923745959501
PRKCA,CSGALNACT1-rt,0.923745959501
PRRX1,CSGALNACT1-rt,0.923745959501
PRSS23,CSGALNACT1-rt,0.923745959501
PSMB9,CSGALNACT1-rt,0.923745959501
PTRF,CSGALNACT1-rt,0.923745959501
RBCK1,CSGALNACT1-rt,0.923745959501
RC3H2,CSGALNACT1-rt,0.923745959501
RUNX2,CSGALNACT1-rt,0.923745959501
SFTA1P,CSGALNACT1-rt,0.923745959501
SH3RF3,CSGALNACT1-rt,0.923745959501
SIX1,CSGALNACT1-rt,0.923745959501
SNAI2,CSGALNACT1-rt,0.923745959501
SNAPC1,CSGALNACT1-rt,0.923745959501
SON,CSGALNACT1-rt,0.923745959501
SP100,CSGALNACT1-rt,0.923745959501
SRGN,CSGALNACT1-rt,0.923745959501
STARD13,CSGALNACT1-rt,0.923745959501
STK32B,CSGALNACT1-rt,0.923745959501
TGFB1I1,CSGALNACT1-rt,0.923745959501
THBS2,CSGALNACT1-rt,0.923745959501
THRA,CSGALNACT1-rt,0.923745959501
TIPARP,CSGALNACT1-rt,0.923745959501
TMF1,CSGALNACT1-rt,0.923745959501
VGLL3,CSGALNACT1-rt,0.923745959501
ZFPL1,CSGALNACT1-rt,0.923745959501
