EXP_GENE,RT_GENE,CORR
SEMG1,NOBOX-rt,0.818960491909
SMPDL3B,NOBOX-rt,0.818960491909
SNRPN,NOBOX-rt,0.818960491909
UGP2,NOBOX-rt,0.818960491909
USP44,NOBOX-rt,0.818960491909
VASH2,NOBOX-rt,0.818960491909
ZDHHC19,NOBOX-rt,0.818960491909
ZNF398,NOBOX-rt,0.818960491909
ZSCAN10,NOBOX-rt,0.818960491909
AASS,BTN3A2-rt,0.850440334183
C12orf56,BTN3A2-rt,0.850440334183
CAPN11,BTN3A2-rt,0.850440334183
CHST4,BTN3A2-rt,0.850440334183
CPNE9,BTN3A2-rt,0.850440334183
CR2,BTN3A2-rt,0.850440334183
CYP2S1,BTN3A2-rt,0.850440334183
DNMT3B,BTN3A2-rt,0.850440334183
DPPA4,BTN3A2-rt,0.850440334183
EPHA1,BTN3A2-rt,0.850440334183
ERVMER34-1,BTN3A2-rt,0.850440334183
FAM124B,BTN3A2-rt,0.850440334183
FAM46B,BTN3A2-rt,0.850440334183
FOXD3,BTN3A2-rt,0.850440334183
GLS2,BTN3A2-rt,0.850440334183
HHLA2,BTN3A2-rt,0.850440334183
HLA-DPB2,BTN3A2-rt,0.850440334183
HTR3A,BTN3A2-rt,0.850440334183
IDO1,BTN3A2-rt,0.850440334183
JARID2,BTN3A2-rt,0.850440334183
KCND2,BTN3A2-rt,0.850440334183
LCK,BTN3A2-rt,0.850440334183
LECT1,BTN3A2-rt,0.850440334183
POLR3G,BTN3A2-rt,0.850440334183
PPM1B,BTN3A2-rt,0.850440334183
PRDM14,BTN3A2-rt,0.850440334183
RASGRP2,BTN3A2-rt,0.850440334183
SEMG1,BTN3A2-rt,0.850440334183
SMPDL3B,BTN3A2-rt,0.850440334183
SNRPN,BTN3A2-rt,0.850440334183
UGP2,BTN3A2-rt,0.850440334183
USP44,BTN3A2-rt,0.850440334183
VASH2,BTN3A2-rt,0.850440334183
ZDHHC19,BTN3A2-rt,0.850440334183
ZNF398,BTN3A2-rt,0.850440334183
