EXP_GENE,RT_GENE,CORR
STK32B,PCED1B-rt,0.977528496666
THBS2,PCED1B-rt,0.977528496666
VGLL3,PCED1B-rt,0.977528496666
ADAM15,TNFSF15-rt,0.925608862719
AK5,TNFSF15-rt,0.925608862719
CAV1,TNFSF15-rt,0.925608862719
COL12A1,TNFSF15-rt,0.925608862719
COL5A3,TNFSF15-rt,0.925608862719
COL8A1,TNFSF15-rt,0.925608862719
CORO1C,TNFSF15-rt,0.925608862719
CPA4,TNFSF15-rt,0.925608862719
CRIM1,TNFSF15-rt,0.925608862719
CSPG4,TNFSF15-rt,0.925608862719
DRAP1,TNFSF15-rt,0.925608862719
EDIL3,TNFSF15-rt,0.925608862719
EVA1A,TNFSF15-rt,0.925608862719
F2RL2,TNFSF15-rt,0.925608862719
FBN1,TNFSF15-rt,0.925608862719
FN1,TNFSF15-rt,0.925608862719
FOSL1,TNFSF15-rt,0.925608862719
FOXS1,TNFSF15-rt,0.925608862719
GPC1,TNFSF15-rt,0.925608862719
GREM1,TNFSF15-rt,0.925608862719
IGFBP4,TNFSF15-rt,0.925608862719
IL15,TNFSF15-rt,0.925608862719
IL7R,TNFSF15-rt,0.925608862719
ITGA11,TNFSF15-rt,0.925608862719
ITGB7,TNFSF15-rt,0.925608862719
KCNMA1,TNFSF15-rt,0.925608862719
LACTB,TNFSF15-rt,0.925608862719
LOC645638,TNFSF15-rt,0.925608862719
MAP1A,TNFSF15-rt,0.925608862719
MBNL1,TNFSF15-rt,0.925608862719
MGLL,TNFSF15-rt,0.925608862719
MPP4,TNFSF15-rt,0.925608862719
NGF,TNFSF15-rt,0.925608862719
NTN4,TNFSF15-rt,0.925608862719
OLFML1,TNFSF15-rt,0.925608862719
PRKCA,TNFSF15-rt,0.925608862719
PRSS23,TNFSF15-rt,0.925608862719
RUNX2,TNFSF15-rt,0.925608862719
SFTA1P,TNFSF15-rt,0.925608862719
SH3RF3,TNFSF15-rt,0.925608862719
SRGN,TNFSF15-rt,0.925608862719
STARD13,TNFSF15-rt,0.925608862719
STK32B,TNFSF15-rt,0.925608862719
THBS2,TNFSF15-rt,0.925608862719
VGLL3,TNFSF15-rt,0.925608862719
ADAM15,TNFSF18-rt,0.994163605547
AK5,TNFSF18-rt,0.994163605547
CAV1,TNFSF18-rt,0.994163605547
COL12A1,TNFSF18-rt,0.994163605547
COL5A3,TNFSF18-rt,0.994163605547
